name,address,description,Grantobiorca Kod pocztowy,Grantobiorca Miejscowość,Grantobiorca Nr budynku,Grantobiorca Ulica,Miejsce Realizacji Województwo,Nazwa,Wartość wsparcia
"Adaptacja lokalu znajdującego się w Rybniku ,województwo śląskie na potrzeby stworzenia Bistro-Cafe-Wine- Bar Frykasy i wprowadzenie specjalistycznych cateringów.",ŚLĄSKIE Rybnik Jana III Sobieskiego 10 44-200,Nazwa: Sensownie Dominika Dytko<br>Miejsce Realizacji Województwo: ŚLĄSKIE<br>Grantobiorca Miejscowość: Rybnik<br>Grantobiorca Ulica: Jana III Sobieskiego<br>Grantobiorca Nr budynku: 10<br>Grantobiorca Kod pocztowy: 44-200<br>Wartość wsparcia: 431949.84,44-200,Rybnik,10,Jana III Sobieskiego,ŚLĄSKIE,Sensownie Dominika Dytko,431949.84
Dywersyfikacja działalności Firmy BATI z regionu woj. śląskiego poprzez utworzenie marki Cafe by Korbasowy,ŚLĄSKIE Cieszyn Hażlaska 135 43-400,Nazwa: Bożena Biernot ~BATI~<br>Miejsce Realizacji Województwo: ŚLĄSKIE<br>Grantobiorca Miejscowość: Cieszyn<br>Grantobiorca Ulica: Hażlaska<br>Grantobiorca Nr budynku: 135<br>Grantobiorca Kod pocztowy: 43-400<br>Wartość wsparcia: 479940,43-400,Cieszyn,135,Hażlaska,ŚLĄSKIE,Bożena Biernot ~BATI~,479940
Dywersyfikacja działalności poprzez otwarcie pijalni soków i napojów drogą dozwiększenia odporności Spółki w województwie śląskim.,ŚLĄSKIE Bielsko-Biała Pocztowa 39 43-300,Nazwa: RNB SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ<br>Miejsce Realizacji Województwo: ŚLĄSKIE<br>Grantobiorca Miejscowość: Bielsko-Biała<br>Grantobiorca Ulica: Pocztowa<br>Grantobiorca Nr budynku: 39<br>Grantobiorca Kod pocztowy: 43-300<br>Wartość wsparcia: 419638.46,43-300,Bielsko-Biała,39,Pocztowa,ŚLĄSKIE,RNB SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,419638.46
"Zwiększenie odporności przedsiębiorstwa PUH ""BMT"" SPÓŁKA CYWILNA TADEUSZMACHURA, PAWEŁ BĘDKOWSKI, DAMIAN BĘDKOWSKI na sytuacje kryzysowe w wyniku rozszerzenia prowadzonej działalności (REGION 4: województwo śląskie)",ŚLĄSKIE Brudzowice Katowicka 10 42-470,"Nazwa: PUH ""BMT"" SPÓŁKA CYWILNA TADEUSZ MACHURA, PAWEŁ BĘDKOWSKI, DAMIAN BĘDKOWSKI<br>Miejsce Realizacji Województwo: ŚLĄSKIE<br>Grantobiorca Miejscowość: Brudzowice<br>Grantobiorca Ulica: Katowicka<br>Grantobiorca Nr budynku: 10<br>Grantobiorca Kod pocztowy: 42-470<br>Wartość wsparcia: 120068.08",42-470,Brudzowice,10,Katowicka,ŚLĄSKIE,"PUH ""BMT"" SPÓŁKA CYWILNA TADEUSZ MACHURA, PAWEŁ BĘDKOWSKI, DAMIAN BĘDKOWSKI",120068.08
"Utrzymanie konkurencyjności firmy poprzez wdrożenie nowych, innowacyjnych usług rekreacyjnych oraz dodatkowych usług eventowych",ŚLĄSKIE Będzin 11 Listopada 10 42-500,Nazwa: Soja Agnieszka Glob-Net<br>Miejsce Realizacji Województwo: ŚLĄSKIE<br>Grantobiorca Miejscowość: Będzin<br>Grantobiorca Ulica: 11 Listopada<br>Grantobiorca Nr budynku: 10<br>Grantobiorca Kod pocztowy: 42-500<br>Wartość wsparcia: 474000,42-500,Będzin,10,11 Listopada,ŚLĄSKIE,Soja Agnieszka Glob-Net,474000
"Dywersyfikacja i uodpornienie na przyszłe kryzysy prowadzonej działalności hotelowej poprzez unowocześnienie bazy usługowej w zakresie strefy basenowej, saun i masaży oraz uruchomienie świadczenia nowej usługi obejmującej Rytuał Rasul w hotelu zlokalizowanym w Szczyrku, woj. śląskie (Region 4)",ŚLĄSKIE Szczyrk Wrzosowa 28A 43-370,"Nazwa: ""BESKID RESORT PROPERTIES"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ<br>Miejsce Realizacji Województwo: ŚLĄSKIE<br>Grantobiorca Miejscowość: Szczyrk<br>Grantobiorca Ulica: Wrzosowa<br>Grantobiorca Nr budynku: 28A<br>Grantobiorca Kod pocztowy: 43-370<br>Wartość wsparcia: 479400.02",43-370,Szczyrk,28A,Wrzosowa,ŚLĄSKIE,"""BESKID RESORT PROPERTIES"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ",479400.02
"Rozszerzenie oferty usług gastronomicznych w regionie Śląskim poprzez wdrożenie usług kateringowych, cyfryzację i ekoinnowacje.",ŚLĄSKIE Katowice al. Aleja Wojciecha Korfantego 2 40-004,Nazwa: Tauria Sp. z o.o.<br>Miejsce Realizacji Województwo: ŚLĄSKIE<br>Grantobiorca Miejscowość: Katowice<br>Grantobiorca Ulica: al. Aleja Wojciecha Korfantego<br>Grantobiorca Nr budynku: 2<br>Grantobiorca Kod pocztowy: 40-004<br>Wartość wsparcia: 468288.91,40-004,Katowice,2,al. Aleja Wojciecha Korfantego,ŚLĄSKIE,Tauria Sp. z o.o.,468288.91
Dywersyfikacja działalności gastronomicznej Klubu Młyn na terenie województwaśląskiego - region 4,ŚLĄSKIE Lubliniec Plebiscytowa 43 42-700,Nazwa: Klub Młyn Rafał Kulejewski<br>Miejsce Realizacji Województwo: ŚLĄSKIE<br>Grantobiorca Miejscowość: Lubliniec<br>Grantobiorca Ulica: Plebiscytowa<br>Grantobiorca Nr budynku: 43<br>Grantobiorca Kod pocztowy: 42-700<br>Wartość wsparcia: 443716.35,42-700,Lubliniec,43,Plebiscytowa,ŚLĄSKIE,Klub Młyn Rafał Kulejewski,443716.35
Dywersyfikacja działalności firmy poprzez otwarcie nowego mobilnego punktu gastronomicznego w województwie śląskim - region 4,ŚLĄSKIE Lubliniec Oleska 20 42-700,Nazwa: WK TRADE SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ<br>Miejsce Realizacji Województwo: ŚLĄSKIE<br>Grantobiorca Miejscowość: Lubliniec<br>Grantobiorca Ulica: Oleska<br>Grantobiorca Nr budynku: 20<br>Grantobiorca Kod pocztowy: 42-700<br>Wartość wsparcia: 413337.01,42-700,Lubliniec,20,Oleska,ŚLĄSKIE,WK TRADE SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,413337.01
Wdrożenie nowych usług w Restauracji Bohema w Katowicach (woj. śląskie),ŚLĄSKIE Katowice Bratków 4 40-045,Nazwa: Victus Tomasz Brzezina<br>Miejsce Realizacji Województwo: ŚLĄSKIE<br>Grantobiorca Miejscowość: Katowice<br>Grantobiorca Ulica: Bratków<br>Grantobiorca Nr budynku: 4<br>Grantobiorca Kod pocztowy: 40-045<br>Wartość wsparcia: 233472.69,40-045,Katowice,4,Bratków,ŚLĄSKIE,Victus Tomasz Brzezina,233472.69
Inwestycja w rozwój i uodpornienie na sytuacje kryzysowe działalności przedsiębiorstwa KMM Investments Sp. z o.o. realizowana w województwie śląskim,ŚLĄSKIE Gliwice Jana Karola Chodkiewicza 33 44-100,Nazwa: KMM INVESTMENTS SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ<br>Miejsce Realizacji Województwo: ŚLĄSKIE<br>Grantobiorca Miejscowość: Gliwice<br>Grantobiorca Ulica: Jana Karola Chodkiewicza<br>Grantobiorca Nr budynku: 33<br>Grantobiorca Kod pocztowy: 44-100<br>Wartość wsparcia: 394422.17,44-100,Gliwice,33,Jana Karola Chodkiewicza,ŚLĄSKIE,KMM INVESTMENTS SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,394422.17
"Dywersyfikacja działalności Spółki z branży hotelarskiej poprzez wejście na nowy rynek usług gastronomicznych - usługi life cooking oraz przygotowanie i podawanie posiłków na wynos/ z dowozem, wsparta rozszerzeniem obecnej działalności w postaci organizacji turnusów wellness z life cooking coaching w celu zwiększenia odporności na gospodarcze sytuacje kryzysowe przedsiębiorstwa w województwie śląskim.",ŚLĄSKIE Szczyrk Skośna 4 43-370,Nazwa: META INTERNATIONAL SPÓŁKA ZOGRANICZONĄ ODPOWIEDZIALNOŚCIĄ<br>Miejsce Realizacji Województwo: ŚLĄSKIE<br>Grantobiorca Miejscowość: Szczyrk<br>Grantobiorca Ulica: Skośna<br>Grantobiorca Nr budynku: 4<br>Grantobiorca Kod pocztowy: 43-370<br>Wartość wsparcia: 417617.74,43-370,Szczyrk,4,Skośna,ŚLĄSKIE,META INTERNATIONAL SPÓŁKA ZOGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,417617.74
"Przedsięwzięcie inwestycyjne w firmie FOOD & FUN sp. z o.o. polegające na rozszerzeniu i dywersyfikacji działalności w celu zwiększenia odporności na przyszłe kryzysy, realizowane Katowicach w regionie nr 4",,Nazwa: FOOD & FUN SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ<br>Miejsce Realizacji Województwo: ŚLĄSKIE<br>Grantobiorca Miejscowość: Poznań<br>Grantobiorca Ulica: Jana Długosza<br>Grantobiorca Nr budynku: 25A<br>Grantobiorca Kod pocztowy: 60-556<br>Wartość wsparcia: 446527.75,60-556,Poznań,25A,Jana Długosza,ŚLĄSKIE,FOOD & FUN SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,446527.75
"Udzielenie pomocy finansowej na przedsięwzięcia MŚP prowadzących mikro, małymi średnim przedsiębiorstwom prowadzącym działalność w sektorze hotelarstwa, gastronomii, turystyki lub kultury na realizację przedsięwzięć MŚP w ramach Inwestycji A1.2.1KPOz regionu nr 4 obejmującego województwa: łódzkie, opolskie, śląskie.",OPOLSKIE Dobrodzień Parkowa 5 46-380,"Nazwa: Nikola Rust-Olearczuk ""PARK-HOTEL""<br>Miejsce Realizacji Województwo: OPOLSKIE<br>Grantobiorca Miejscowość: Dobrodzień<br>Grantobiorca Ulica: Parkowa<br>Grantobiorca Nr budynku: 5<br>Grantobiorca Kod pocztowy: 46-380<br>Wartość wsparcia: 164015.11",46-380,Dobrodzień,5,Parkowa,OPOLSKIE,"Nikola Rust-Olearczuk ""PARK-HOTEL""",164015.11
"Przedsięwzięcie inwestycyjne w firmie FOOD & FUN TOMASZ FRIEDEL polegające na rozszerzeniu i dywersyfikacji działalności w celu zwiększenia odporności na przyszłe kryzysy, realizowane Katowicach w regionie nr 4",ŚLĄSKIE Poznań Stanisława Taczaka 11 61-819,Nazwa: FOOD & FUN TOMASZ FRIEDEL<br>Miejsce Realizacji Województwo: ŚLĄSKIE<br>Grantobiorca Miejscowość: Poznań<br>Grantobiorca Ulica: Stanisława Taczaka<br>Grantobiorca Nr budynku: 11<br>Grantobiorca Kod pocztowy: 61-819<br>Wartość wsparcia: 436472.56,61-819,Poznań,11,Stanisława Taczaka,ŚLĄSKIE,FOOD & FUN TOMASZ FRIEDEL,436472.56
"Przedsięwzięcie inwestycyjne w firmie FOOD & FUN I sp. z o.o. polegające narozszerzeniu i dywersyfikacji działalności w celu zwiększenia odporności na przyszłekryzysy, realizowane Katowicach w regionie nr 4",,Nazwa: FOOD & FUN I SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ<br>Miejsce Realizacji Województwo: ŚLĄSKIE<br>Grantobiorca Miejscowość: Poznań<br>Grantobiorca Ulica: Jana Długosza<br>Grantobiorca Nr budynku: 25A<br>Grantobiorca Kod pocztowy: 60-556<br>Wartość wsparcia: 396398.01,60-556,Poznań,25A,Jana Długosza,ŚLĄSKIE,FOOD & FUN I SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,396398.01
"Dywersyfikacja działalności Hotelu Mościcki poprzez podjęcie działań inwestycyjnych, doradczych i szkoleniowych w ramach przedsięwzięcia realizowanego w województwie łódzkim (region 4).",ŁÓDZKIE Spała Nadpiliczna 2 97-215,Nazwa: PDK HOTELE SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ<br>Miejsce Realizacji Województwo: ŁÓDZKIE<br>Grantobiorca Miejscowość: Spała<br>Grantobiorca Ulica: Nadpiliczna<br>Grantobiorca Nr budynku: 2<br>Grantobiorca Kod pocztowy: 97-215<br>Wartość wsparcia: 399033.18,97-215,Spała,2,Nadpiliczna,ŁÓDZKIE,PDK HOTELE SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,399033.18
Rozszerzenie działalności restauracji Markus w Kolonowskiem w województwie opolskim. poprzez uruchomienie nowych produktów i cyfryzacja systemu rejestracji gości do pokoi noclegowych - region 4.,OPOLSKIE Kolonowskie Krótka 8 47-110,Nazwa: RESTAURACJA MARKUS MARIAN OBLONG<br>Miejsce Realizacji Województwo: OPOLSKIE<br>Grantobiorca Miejscowość: Kolonowskie<br>Grantobiorca Ulica: Krótka<br>Grantobiorca Nr budynku: 8<br>Grantobiorca Kod pocztowy: 47-110<br>Wartość wsparcia: 419939.98,47-110,Kolonowskie,8,Krótka,OPOLSKIE,RESTAURACJA MARKUS MARIAN OBLONG,419939.98
Dywersyfikacja działalności firmy poprzez wdrożenie usługi cateringu dedykowanego (Region nr 4),ŁÓDZKIE Łódź Ogrodowa 19A 91-065,Nazwa: COTTONFOOD SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ<br>Miejsce Realizacji Województwo: ŁÓDZKIE<br>Grantobiorca Miejscowość: Łódź<br>Grantobiorca Ulica: Ogrodowa<br>Grantobiorca Nr budynku: 19A<br>Grantobiorca Kod pocztowy: 91-065<br>Wartość wsparcia: 327337.31,91-065,Łódź,19A,Ogrodowa,ŁÓDZKIE,COTTONFOOD SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,327337.31
Rozszerzenie i dywersyfikacja działalności Hotelu Shuma w celu zwiększeniaodporności na przyszłe kryzysy poprzez inwestycje w projekcie realizowane wDąbrowie Górniczej w województwie śląskim (Region 4),ŚLĄSKIE Dąbrowa Górnicza Żeglarska 20 41-303,Nazwa: HOTEL SHUMA SPÓŁKA JAWNA LATOS<br>Miejsce Realizacji Województwo: ŚLĄSKIE<br>Grantobiorca Miejscowość: Dąbrowa Górnicza<br>Grantobiorca Ulica: Żeglarska<br>Grantobiorca Nr budynku: 20<br>Grantobiorca Kod pocztowy: 41-303<br>Wartość wsparcia: 320977,41-303,Dąbrowa Górnicza,20,Żeglarska,ŚLĄSKIE,HOTEL SHUMA SPÓŁKA JAWNA LATOS,320977
"Wzmocnienie odporności na wypadek kolejnych kryzysów poprzez podjęcie działań inwestycyjnych, doradczych i szkoleniowych przez firmę ""FREETIME POLAND"" AGATA TYMIŃSKA w ramach projektu realizowanego w województwie łódzkim (region 4) zmierzających do rozszerzenie działalności i wprowadzenia nowej usług.",ŁÓDZKIE Rosanów Letnia 5/9 95-100,"Nazwa: ""FREETIME POLAND"" AGATA TYMIŃSKA<br>Miejsce Realizacji Województwo: ŁÓDZKIE<br>Grantobiorca Miejscowość: Rosanów<br>Grantobiorca Ulica: Letnia<br>Grantobiorca Nr budynku: 5/9<br>Grantobiorca Kod pocztowy: 95-100<br>Wartość wsparcia: 413480.52",95-100,Rosanów,5/9,Letnia,ŁÓDZKIE,"""FREETIME POLAND"" AGATA TYMIŃSKA",413480.52
Rozszerzenie działalności firmy poprzez uruchomienie bazy noclegowej na tereniewojewództwa śląskiego,ŚLĄSKIE Raszczyce Szkolna 1 47-435,Nazwa: Judyta Makulik<br>Miejsce Realizacji Województwo: ŚLĄSKIE<br>Grantobiorca Miejscowość: Raszczyce<br>Grantobiorca Ulica: Szkolna<br>Grantobiorca Nr budynku: 1<br>Grantobiorca Kod pocztowy: 47-435<br>Wartość wsparcia: 539999.98,47-435,Raszczyce,1,Szkolna,ŚLĄSKIE,Judyta Makulik,539999.98
"Wdrożenie nowych usług związanych z organizacją targów, wystaw i kongresów dodziałalności firmy na terenie województwa śląskiego",ŚLĄSKIE Racibórz Rynek 13 47-400,Nazwa: ''Brax-Ton'' R.J. Makulik Spółka Jawna<br>Miejsce Realizacji Województwo: ŚLĄSKIE<br>Grantobiorca Miejscowość: Racibórz<br>Grantobiorca Ulica: Rynek<br>Grantobiorca Nr budynku: 13<br>Grantobiorca Kod pocztowy: 47-400<br>Wartość wsparcia: 539999.99,47-400,Racibórz,13,Rynek,ŚLĄSKIE,''Brax-Ton'' R.J. Makulik Spółka Jawna,539999.99
"Nowy wymiar kompleksu ""Happy Hours"" - region śląski",ŚLĄSKIE Bielsko-Biała 3 Maja 13 43-300,Nazwa: Anna Kowalczyk Polish Adventure<br>Miejsce Realizacji Województwo: ŚLĄSKIE<br>Grantobiorca Miejscowość: Bielsko-Biała<br>Grantobiorca Ulica: 3 Maja<br>Grantobiorca Nr budynku: 13<br>Grantobiorca Kod pocztowy: 43-300<br>Wartość wsparcia: 330989.04,43-300,Bielsko-Biała,13,3 Maja,ŚLĄSKIE,Anna Kowalczyk Polish Adventure,330989.04
Zakup innowacyjnego sprzętu multimedialnego w celu dywersyfikacji usług wbranży HoReCa (Region 4 – województwo śląskie),ŚLĄSKIE Zabrze 3 Maja 11a 41-800,"Nazwa: BIURO PODRÓŻY ""ZATUR"" KATARZYNA WRÓBLEWSKA<br>Miejsce Realizacji Województwo: ŚLĄSKIE<br>Grantobiorca Miejscowość: Zabrze<br>Grantobiorca Ulica: 3 Maja<br>Grantobiorca Nr budynku: 11a<br>Grantobiorca Kod pocztowy: 41-800<br>Wartość wsparcia: 539924.4",41-800,Zabrze,11a,3 Maja,ŚLĄSKIE,"BIURO PODRÓŻY ""ZATUR"" KATARZYNA WRÓBLEWSKA",539924.4
"Poszerzenie działalności obiektu ""Willa pod Starą Skocznią"" o usługi umożliwiające turystom poznawanie walorów przyrodniczo-krajoznawczych oraz atrakcji turystycznych w regionie woj. śląskiego miasto Wisła poprzez korzystanie z rowerów oraz ""zestawów górskiego piechura"" z uwzględnieniem potrzeb osób niepełnosprawnych.",ŚLĄSKIE Wisła Leśna 20 43-460,"Nazwa: KRAKOWIAK-MILER LUCYNA ""MAXIMA"" - TUR<br>Miejsce Realizacji Województwo: ŚLĄSKIE<br>Grantobiorca Miejscowość: Wisła<br>Grantobiorca Ulica: Leśna<br>Grantobiorca Nr budynku: 20<br>Grantobiorca Kod pocztowy: 43-460<br>Wartość wsparcia: 115084.03",43-460,Wisła,20,Leśna,ŚLĄSKIE,"KRAKOWIAK-MILER LUCYNA ""MAXIMA"" - TUR",115084.03
"Zwiększenie odporności przedsiębiorstwa na kryzysy gospodarcze oraz wzmocnienie pozycji konkurencyjnej poprzez wprowadzenie w Regionie 4 w województwie śląskim dwóch nowych usług cateringu okolicznościowego i samodzielnego rezerwowania pokoju, meldowania, płatności i wymeldowania skutkujące dywersyfikacją i rozszerzeniem aktualnej działalności.",ŚLĄSKIE Gliwice Mazowiecka 44 44-100,Nazwa: ODA SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ<br>Miejsce Realizacji Województwo: ŚLĄSKIE<br>Grantobiorca Miejscowość: Gliwice<br>Grantobiorca Ulica: Mazowiecka<br>Grantobiorca Nr budynku: 44<br>Grantobiorca Kod pocztowy: 44-100<br>Wartość wsparcia: 520441.2,44-100,Gliwice,44,Mazowiecka,ŚLĄSKIE,ODA SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,520441.2
"Delikatesy Mojego Brata - rozszerzenie działalności restauracji o sprzedaż lokalnych produktów, półproduktów i przekąsek wsparte analizą biznesową, szkoleniami oraz niezbędnymi działaniami inwestycyjnymi, w tym również ekologicznymi i cyfrowymi",ŚLĄSKIE Zawiercie Józefa Piłsudskiego 91 42-400,Nazwa: m-group s.c. MICHAŁ SOBOTA MATEUSZ SOBOTA<br>Miejsce Realizacji Województwo: ŚLĄSKIE<br>Grantobiorca Miejscowość: Zawiercie<br>Grantobiorca Ulica: Józefa Piłsudskiego<br>Grantobiorca Nr budynku: 91<br>Grantobiorca Kod pocztowy: 42-400<br>Wartość wsparcia: 293112.12,42-400,Zawiercie,91,Józefa Piłsudskiego,ŚLĄSKIE,m-group s.c. MICHAŁ SOBOTA MATEUSZ SOBOTA,293112.12
"Wzmocnienie odporności na wypadek kolejnych kryzysów poprzez podjęciedziałań inwestycyjnych, doradczych i szkoleniowych przez firmę "" ""CZARNYSTAW-PANDA BIS"" BEATA ANTCZAK w ramach projektu realizowanego w województwie łódzkim (region 4) zmierzających do rozszerzenie działalności iwprowadzenia nowych usług.",ŁÓDZKIE Nowy Adamów 3 95-070,"Nazwa: ""Czarny Staw-Panda Bis"" BEATA ANTCZAK<br>Miejsce Realizacji Województwo: ŁÓDZKIE<br>Grantobiorca Miejscowość: Nowy Adamów<br>Grantobiorca Ulica: <br>Grantobiorca Nr budynku: 3<br>Grantobiorca Kod pocztowy: 95-070<br>Wartość wsparcia: 417109.62",95-070,Nowy Adamów,3,,ŁÓDZKIE,"""Czarny Staw-Panda Bis"" BEATA ANTCZAK",417109.62
Inwestycje w przedsiębiorstwie Take a Fruit sp. z o.o. w celu dywersyfikacji oraz rozszerzenia oferty w woj. śląskim.,ŚLĄSKIE Warszawa Twarda 18 00-105,Nazwa: TAKE A FRUIT SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ<br>Miejsce Realizacji Województwo: ŚLĄSKIE<br>Grantobiorca Miejscowość: Warszawa<br>Grantobiorca Ulica: Twarda<br>Grantobiorca Nr budynku: 18<br>Grantobiorca Kod pocztowy: 00-105<br>Wartość wsparcia: 419045.53,00-105,Warszawa,18,Twarda,ŚLĄSKIE,TAKE A FRUIT SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,419045.53
Uruchomienie nowej usługi gastronomicznej w formie organizacji eventów plenerowych w województwie śląskim - catering na kółkach.,ŚLĄSKIE Bielsko-Biała Strażacka 81 43-382,Nazwa: MAG-DRIVE MAGDALENA CISEK<br>Miejsce Realizacji Województwo: ŚLĄSKIE<br>Grantobiorca Miejscowość: Bielsko-Biała<br>Grantobiorca Ulica: Strażacka<br>Grantobiorca Nr budynku: 81<br>Grantobiorca Kod pocztowy: 43-382<br>Wartość wsparcia: 356584.5,43-382,Bielsko-Biała,81,Strażacka,ŚLĄSKIE,MAG-DRIVE MAGDALENA CISEK,356584.5
Rozszerzenie działalności Karczmy WRAZIDLOK w Nieborowicach (woj. śląskie)związane z wprowadzeniem nowej oferty dla klientów. - REGION 4.,ŚLĄSKIE Nieborowice Kasztanowa 1 44-144,Nazwa: Karczma WRAZIDLOK Jacek Wojdyło<br>Miejsce Realizacji Województwo: ŚLĄSKIE<br>Grantobiorca Miejscowość: Nieborowice<br>Grantobiorca Ulica: Kasztanowa<br>Grantobiorca Nr budynku: 1<br>Grantobiorca Kod pocztowy: 44-144<br>Wartość wsparcia: 328695.38,44-144,Nieborowice,1,Kasztanowa,ŚLĄSKIE,Karczma WRAZIDLOK Jacek Wojdyło,328695.38
"Rozszerzenie działalności przedsiębiorstwa Anna Lipińska OŚRODEK TURYSTYCZNO - REKREACYJNY W PRZYSIECZY na terenie województwa opolskiego, poprzez wprowadzenie nowych usług.",OPOLSKIE Przysiecz Stawowa 2 46-060,Nazwa: Anna Lipińska OŚRODEK TURYSTYCZNO - REKREACYJNY W PRZYSIECZY<br>Miejsce Realizacji Województwo: OPOLSKIE<br>Grantobiorca Miejscowość: Przysiecz<br>Grantobiorca Ulica: Stawowa<br>Grantobiorca Nr budynku: 2<br>Grantobiorca Kod pocztowy: 46-060<br>Wartość wsparcia: 539995.21,46-060,Przysiecz,2,Stawowa,OPOLSKIE,Anna Lipińska OŚRODEK TURYSTYCZNO - REKREACYJNY W PRZYSIECZY,539995.21
"Dywersyfikacja działalności Alfreda Perczak PPHU ""POL-TRANS-CATERING"" EXPORT-IMPORT w celu rozbudowy i umocnienie pozycji w branży HoReCa w województwie śląskim",ŚLĄSKIE Mierzęcice Osiedle 166 42-460,"Nazwa: Alfreda Perczak PPHU""POL-TRANS-CATERING"" EXPORT-IMPORT<br>Miejsce Realizacji Województwo: ŚLĄSKIE<br>Grantobiorca Miejscowość: Mierzęcice<br>Grantobiorca Ulica: Osiedle<br>Grantobiorca Nr budynku: 166<br>Grantobiorca Kod pocztowy: 42-460<br>Wartość wsparcia: 388885.56",42-460,Mierzęcice,166,Osiedle,ŚLĄSKIE,"Alfreda Perczak PPHU""POL-TRANS-CATERING"" EXPORT-IMPORT",388885.56
Rozbudowa przedsiębiorstwa oraz wdrożenie nowych usług celem dywersyfikacjidziałalności podmiotu działającego w województwie śląskim,ŚLĄSKIE Częstochowa Śląska 16 42-217,Nazwa: Anna Kliszewska Zakład Usługowo Handlowy POP - ART<br>Miejsce Realizacji Województwo: ŚLĄSKIE<br>Grantobiorca Miejscowość: Częstochowa<br>Grantobiorca Ulica: Śląska<br>Grantobiorca Nr budynku: 16<br>Grantobiorca Kod pocztowy: 42-217<br>Wartość wsparcia: 351072.99,42-217,Częstochowa,16,Śląska,ŚLĄSKIE,Anna Kliszewska Zakład Usługowo Handlowy POP - ART,351072.99
Wzmocnienie pozycji konkurencyjnej przedsiębiorstwa Mała Osada poprzez dywersyfikację profilu działalności,ŚLĄSKIE Szczyrk Salmopolska 2E 43-370,Nazwa: MAŁA OSADA Beata Brylewska<br>Miejsce Realizacji Województwo: ŚLĄSKIE<br>Grantobiorca Miejscowość: Szczyrk<br>Grantobiorca Ulica: Salmopolska<br>Grantobiorca Nr budynku: 2E<br>Grantobiorca Kod pocztowy: 43-370<br>Wartość wsparcia: 280918.26,43-370,Szczyrk,2E,Salmopolska,ŚLĄSKIE,MAŁA OSADA Beata Brylewska,280918.26
"Wzmocnienie odporności na wypadek kolejnych kryzysów poprzez podjęcie działań inwestycyjnych, doradczych i szkoleniowych przez firmę „WOJGAST Jakub Łukasik” w ramach projektu realizowanego w województwie łódzkim (region 4) zmierzających do zdywersyfikowania działalności i wprowadzenia nowej usługi.",ŁÓDZKIE Pęczniew Spacerowa 50 99-235,Nazwa: WOJGAST Jakub Łukasik<br>Miejsce Realizacji Województwo: ŁÓDZKIE<br>Grantobiorca Miejscowość: Pęczniew<br>Grantobiorca Ulica: Spacerowa<br>Grantobiorca Nr budynku: 50<br>Grantobiorca Kod pocztowy: 99-235<br>Wartość wsparcia: 419359.26,99-235,Pęczniew,50,Spacerowa,ŁÓDZKIE,WOJGAST Jakub Łukasik,419359.26
